Threshold,Sensitivity_Percent,Specificity_Percent,PPV_Percent,NPV_Percent,F1_Percent,Accuracy_Percent
0.01,94.8051948051948,91.5094339622642,89.0243902439024,96.039603960396,91.8238993710692,92.896174863388
0.02,94.1558441558442,91.9811320754717,89.5061728395062,95.5882352941177,91.7721518987342,92.896174863388
0.03,94.1558441558442,93.3962264150943,91.1949685534591,95.6521739130435,92.6517571884984,93.7158469945355
0.04,94.1558441558442,93.8679245283019,91.7721518987342,95.6730769230769,92.948717948718,93.9890710382514
0.05,93.5064935064935,94.811320754717,92.9032258064516,95.260663507109,93.2038834951456,94.2622950819672
0.06,92.8571428571429,94.811320754717,92.8571428571429,94.811320754717,92.8571428571429,93.9890710382514
0.07,92.8571428571429,94.811320754717,92.8571428571429,94.811320754717,92.8571428571429,93.9890710382514
0.08,92.8571428571429,94.811320754717,92.8571428571429,94.811320754717,92.8571428571429,93.9890710382514
0.09,92.8571428571429,94.811320754717,92.8571428571429,94.811320754717,92.8571428571429,93.9890710382514
0.1,92.8571428571429,94.811320754717,92.8571428571429,94.811320754717,92.8571428571429,93.9890710382514
0.11,92.8571428571429,94.811320754717,92.8571428571429,94.811320754717,92.8571428571429,93.9890710382514
0.12,92.8571428571429,94.811320754717,92.8571428571429,94.811320754717,92.8571428571429,93.9890710382514
0.13,92.8571428571429,95.2830188679245,93.4640522875817,94.8356807511737,93.1596091205212,94.2622950819672
0.14,92.8571428571429,95.2830188679245,93.4640522875817,94.8356807511737,93.1596091205212,94.2622950819672
0.15,92.8571428571429,95.2830188679245,93.4640522875817,94.8356807511737,93.1596091205212,94.2622950819672
0.16,92.8571428571429,95.2830188679245,93.4640522875817,94.8356807511737,93.1596091205212,94.2622950819672
0.17,92.8571428571429,95.2830188679245,93.4640522875817,94.8356807511737,93.1596091205212,94.2622950819672
0.18,92.8571428571429,95.2830188679245,93.4640522875817,94.8356807511737,93.1596091205212,94.2622950819672
0.19,92.8571428571429,95.2830188679245,93.4640522875817,94.8356807511737,93.1596091205212,94.2622950819672
0.2,92.2077922077922,95.7547169811321,94.0397350993377,94.4186046511628,93.1147540983606,94.2622950819672
0.21,92.2077922077922,95.7547169811321,94.0397350993377,94.4186046511628,93.1147540983606,94.2622950819672
0.22,92.2077922077922,96.2264150943396,94.6666666666667,94.4444444444444,93.4210526315789,94.5355191256831
0.23,92.2077922077922,96.2264150943396,94.6666666666667,94.4444444444444,93.4210526315789,94.5355191256831
0.24,91.5584415584416,96.2264150943396,94.6308724832215,94.0092165898618,93.0693069306931,94.2622950819672
0.25,91.5584415584416,96.2264150943396,94.6308724832215,94.0092165898618,93.0693069306931,94.2622950819672
